Time	Male	Female	Zombie
1083	22217	20388	0
1084	22217	20388	0
1085	22217	20388	0
1086	22217	20388	0
1087	22217	20388	0
1088	22217	20388	0
1089	22217	20388	0
1090	22217	20388	0
1091	22217	20388	0
1092	22217	20388	0
1093	22217	20388	0
1094	22217	20388	0
1095	22217	20388	0
1096	22217	20388	0
1097	22217	20388	0
1098	22217	20388	0
1099	22217	20388	0
1100	22217	20388	0
1101	22217	20388	0
1102	22217	20388	0
1103	22217	20388	0
1104	22217	20388	0
1105	22217	20388	0
1106	22217	20387	0
1107	22217	20387	0
1108	22217	20387	0
1109	22217	20387	0
1110	22217	20387	0
1111	22217	20386	0
1112	22217	20386	0
1113	22217	20386	0
1114	22217	20386	0
1115	22217	20386	0
1116	22216	20386	0
1117	22216	20386	0
1118	22216	20386	0
1119	22216	20386	0
1120	22216	20386	0
1121	22216	20386	0
1122	22216	20386	0
1123	22216	20386	0
1124	22215	20386	0
1125	22215	20386	0
1126	22215	20386	0
1127	22215	20386	0
1128	22215	20386	0
1129	22215	20386	0
1130	22215	20386	0
1131	22215	20386	0
1132	22215	20386	0
1133	22215	20386	0
1134	22215	20386	0
1135	22215	20386	0
1136	22215	20386	0
1137	22215	20386	0
1138	22215	20386	0
1139	22215	20386	0
1140	22215	20386	0
1141	22215	20386	0
1142	22215	20386	0
1143	22215	20386	0
1144	22215	20386	0
1145	22215	20386	0
1146	22215	20386	0
1147	22214	20386	0
1148	22214	20386	0
1149	22214	20386	0
1150	22214	20386	0
1151	22214	20386	0
1152	22214	20386	0
1153	22214	20386	0
1154	22214	20386	0
1155	22214	20386	0
1156	22214	20386	0
1157	22214	20386	0
1158	22214	20386	0
1159	22214	20386	0
1160	22214	20386	0
1161	22214	20386	0
1162	22214	20386	0
1163	22214	20386	0
1164	22214	20386	0
1165	22214	20386	0
1166	22214	20386	0
1167	22214	20386	0
1168	22214	20386	0
1169	22214	20386	0
1170	22214	20386	0
1171	22214	20386	0
1172	22214	20386	0
1173	22214	20386	0
1174	22214	20386	0
1175	22214	20386	0
1176	22214	20386	0
1177	22214	20386	0
1178	22214	20386	0
1179	22214	20385	0
1180	22214	20385	0
1181	22214	20385	0
1182	22214	20384	0
1183	22214	20384	0
1184	22214	20384	0
1185	22214	20384	0
1186	22214	20384	0
1187	22214	20384	0
1188	22214	20384	0
1189	22214	20384	0
1190	22214	20384	0
1191	22214	20384	0
1192	22214	20384	0
1193	22214	20384	0
1194	22214	20384	0
